downloadKey	numberRecords	totalRecords	numberDatasets
0011343-190918142434337	1	834	62
0011558-190918142434337	42	55384	296
0013877-190918142434337	3	54270	195
0011749-190918142434337	4	15537	162
0013898-190918142434337	3	9546	100
0013245-190918142434337	1	44519	91
0039169-181108115102211	48	2794	61
0013242-190918142434337	1	299529	492
0041464-181108115102211	359	29488	326
0011493-190918142434337	3	21221	54
0013895-190918142434337	7	4249	51
0013880-190918142434337	12	217835	424
0011070-190918142434337	555	7587	38
0011490-190918142434337	6	21998	206
0013883-190918142434337	4	422	32
0011105-190918142434337	71	9577	67
0011088-190918142434337	23	9977	156
0013915-190918142434337	24	6223	122
0011049-190918142434337	6	3908	46
0013927-190918142434337	2	13181	123
0011073-190918142434337	2	3214	80
0010936-190918142434337	36	5940	35
0012776-190918142434337	181	147103	476
0012779-190918142434337	1	4974	71
0011525-190918142434337	27	13158	84
0011067-190918142434337	8	19014	58
0011522-190918142434337	33	17257	179
0013275-190918142434337	2	240963	97
0011667-190918142434337	5	50323	71
0011029-190918142434337	1	2269	24
0013948-190918142434337	139	21963	163
0011331-190918142434337	1	12383	66
0012759-190918142434337	81	3811	83
0011288-190918142434337	1	3842	36
0013316-190918142434337	8	9069039	175
0011337-190918142434337	1	4775	51
0011373-190918142434337	1	474	42
0011370-190918142434337	217	6261	67
0011293-190918142434337	7	980	31
0011296-190918142434337	63	172614	554
0011299-190918142434337	169	41669	308
0011367-190918142434337	7	6347	63
0012806-190918142434337	33	2643	93
0015044-190918142434337	2	210678	64
0011038-190918142434337	4	3936	55
0010904-190918142434337	947	14492	111
0011041-190918142434337	57	415	10
0011032-190918142434337	19	21441	45
0011702-190918142434337	5	47428	300
0011685-190918142434337	1	26747	85
0011020-190918142434337	6	4356	36
0011673-190918142434337	90	1788	59
0011002-190918142434337	4	2739	56
0011661-190918142434337	4	1438	40
0039615-181108115102211	2	640	26
0012877-190918142434337	13	2290	27
0011053-190918142434337	21	2649	61
0011369-190918142434337	4	1575	41
0011022-190918142434337	34	5044	55
0040343-181108115102211	372	13793	187
0011025-190918142434337	69	7465	119
0011372-190918142434337	2	309	26
0013901-190918142434337	1	3931	98
0011056-190918142434337	7	48565	252
0013975-190918142434337	6	602459	110
0011059-190918142434337	6	816	32
0040947-181108115102211	18	386	44
0012721-190918142434337	8	44938	133
0011523-190918142434337	3	2311	72
0041438-181108115102211	6	144	12
0011432-190918142434337	4	1194	62
0013228-190918142434337	1	1934	63
0011426-190918142434337	8	1347	28
0011287-190918142434337	61	13871	60
0011291-190918142434337	19	2117	43
0011294-190918142434337	203	11270	40
0013954-190918142434337	3	833	57
0040965-181108115102211	24	2941	26
0011010-190918142434337	19	14336	63
0012892-190918142434337	3	6263	87
0011097-190918142434337	1	8409	56
0011028-190918142434337	26	9854	40
0012883-190918142434337	1	8269	212
0011091-190918142434337	179	24319	214
0011094-190918142434337	61	109793	84
0006318-190307172214381	4	277	14
0011460-190918142434337	2	2526	83
0011445-190918142434337	14	10518	157
0011472-190918142434337	10	9929	114
0012856-190918142434337	2	3028	54
0040271-181108115102211	3	3406	45
0011457-190918142434337	6	2591	63
0011451-190918142434337	2	3750	82
0012902-190918142434337	37	301042	471
0011553-190918142434337	4	9648	104
0040322-181108115102211	2	484	22
0011390-190918142434337	8	17285	130
0011393-190918142434337	9	2032	58
0011046-190918142434337	87	12936	139
0012905-190918142434337	3	1697	68
0011345-190918142434337	31	59663	418
0011348-190918142434337	1	8517	34
0012908-190918142434337	18	48455	207
0041390-181108115102211	79	9126	207
0012950-190918142434337	4	15239	197
0013885-190918142434337	178	12663	146
0040838-181108115102211	9	925	31
0039633-181108115102211	6	99	16
0011502-190918142434337	10	397	39
0012947-190918142434337	269	30382	225
0011505-190918142434337	2	713	36
0012802-190918142434337	2	6196	77
0012784-190918142434337	10	292181	535
0012781-190918142434337	4	27382	216
0012745-190918142434337	42	11137	139
0011339-190918142434337	380	5691	70
0040841-181108115102211	25	1879	46
0012778-190918142434337	2	5138	51
0012914-190918142434337	48	34845	84
0013891-190918142434337	1	29712	94
0013894-190918142434337	36	6943	212
0011520-190918142434337	18	3149	42
0013155-190918142434337	6	622228	187
0011517-190918142434337	2	245	34
0013873-190918142434337	1	24955	172
0012932-190918142434337	1	55994	153
0011360-190918142434337	2	6667	85
0011366-190918142434337	8	4436	186
0040319-181108115102211	4	1827	103
0012959-190918142434337	2	40079	221
0011351-190918142434337	10	1339	32
0039159-181108115102211	18	140	13
0013897-190918142434337	15	52014	196
0039165-181108115102211	11	281	6
0011330-190918142434337	1	792	23
0011333-190918142434337	605	11349	115
0039174-181108115102211	30	216	11
0041421-181108115102211	77	8463	57
0013952-190918142434337	1	1109	30
0011039-190918142434337	10	2668	34
0038693-181108115102211	19	3110	42
0012766-190918142434337	22	25228	158
0011674-190918142434337	4	13695	99
0011512-190918142434337	1	5585	67
0012860-190918142434337	28	5397	27
0012954-190918142434337	2	11534	113
0011483-190918142434337	2	11357	141
0011421-190918142434337	3	9832	93
0012957-190918142434337	3	129082	376
0011700-190918142434337	6	18961	137
0011477-190918142434337	5	476	28
0040970-181108115102211	25	2466	56
0040323-181108115102211	26	833	26
0040329-181108115102211	15	9869	101
0040335-181108115102211	13	252	19
0012866-190918142434337	8	13110	55
0016379-190918142434337	840	2283	11
0011668-190918142434337	9	30766	102
0012863-190918142434337	15	73514	387
0011677-190918142434337	17	974	41
0040320-181108115102211	209	4181	57
0012760-190918142434337	2	167482	393
0040961-181108115102211	57	6839	55
0011098-190918142434337	4	5836	21
0012757-190918142434337	54	4487	59
0012763-190918142434337	1	766	31
0011680-190918142434337	55	2744	85
0011033-190918142434337	6	9702	84
0040911-181108115102211	54	5056	43
0040973-181108115102211	33	1506	37
0011092-190918142434337	29	2075	19
0040979-181108115102211	13	7045	117
0012754-190918142434337	3	2806	106
0013967-190918142434337	3	29092	115
0011568-190918142434337	6	3351	38
0013294-190918142434337	1	760	48
0011683-190918142434337	1	620	35
0011565-190918142434337	2	12584	73
0038643-181108115102211	5	1246	64
0011374-190918142434337	5	2227	71
0011662-190918142434337	2	774	76
0012942-190918142434337	192	127601	398
0012963-190918142434337	3	50588	229
0011427-190918142434337	4	3960	35
0011368-190918142434337	87	4536	126
0011436-190918142434337	24	995	30
0040270-181108115102211	61	4572	159
0011074-190918142434337	10	619	10
0011442-190918142434337	25	4075	22
0040276-181108115102211	1	167	12
0011103-190918142434337	11	5950	67
0011106-190918142434337	19	16117	104
0040985-181108115102211	12	180	20
0013937-190918142434337	17	4427	75
0010931-190918142434337	17	15508	148
0011450-190918142434337	29	4845	55
0011453-190918142434337	10	4325	102
0041406-181108115102211	29	1403	29
0016243-190918142434337	11	170432	116
0040264-181108115102211	1086	3156	17
0040267-181108115102211	2	15	7
0011080-190918142434337	125	10981	67
0011083-190918142434337	37	417	12
0012875-190918142434337	8	5108	42
0012893-190918142434337	55	9093	160
0040846-181108115102211	1188	14557	177
0012881-190918142434337	156	206080	141
