downloadKey	numberRecords	totalRecords	numberDatasets
0000687-171219132708484	2	194940	113
0000604-170925132151566	6	9365	88
0000601-170925132151566	7	65815	167
0002090-170925132151566	1	30793	165
0003047-170925132151566	2	3291	50
0000679-170925132151566	3	74780	112
0003188-170925132151566	2	25283	95
0003197-170925132151566	3	646724	95
0000685-170925132151566	24	936729	514
0009596-170826194755519	1	33564	229
0000676-170925132151566	2	48478	109
0003194-170925132151566	3	3264	55
0011087-170826194755519	8	799030	356
0002934-171219132708484	6	150702	78
0011099-170826194755519	1	4480539	177
0003122-170925132151566	3	4354	41
0002335-170925132151566	17	6123338	887
0002959-170925132151566	10	323035	134
0002338-170925132151566	1	6988	35
0000328-171219132708484	21	341032	408
0011060-170826194755519	146	298244	256
0010478-170826194755519	5	42660	163
0010475-170826194755519	3	4708	92
0002027-170925132151566	59	5114605	144
0002908-170925132151566	2	148533	134
0011103-170826194755519	4	12388	102
0003119-170925132151566	2	55052	61
0002021-170925132151566	3	9915	78
0011115-170826194755519	4	112400	76
0000760-170925132151566	2	4872	56
0002896-170925132151566	18	855048	613
0002899-170925132151566	7	137425	105
0002326-170925132151566	3	1197	52
0002665-171025204727650	68	2723605	689
0002323-170925132151566	7	6999	48
0010490-170826194755519	5	134961	105
0010463-170826194755519	246	5109	52
0002341-170925132151566	26	7191808	824
0005192-171002173027117	6	1027272	147
0010469-170826194755519	1	137585	137
0000364-171219132708484	9	173268	227
0000361-171219132708484	6	69986	172
0000319-171219132708484	92	5437616	701
0000358-171219132708484	91	7456681	1067
0002644-171025204727650	177695	19479865	1252
0000340-171219132708484	21	211539	268
0000346-171219132708484	2	74577	120
0000349-171219132708484	986	47352327	1045
0003080-170925132151566	3	680	36
0009594-170826194755519	3	2798	31
0005186-171002173027117	8	805003	358
0000296-171002173027117	3	346002	122
0003177-170925132151566	2	14782	52
0003171-170925132151566	2	1550	43
0000685-171219132708484	3	2619	61
0011039-170826194755519	1	12539	122
0000124-170925132151566	3	5389	76
0002214-170925132151566	5	348	38
0003231-171025204727650	374	23526030	1330
0000676-171219132708484	9	36369	130
0003027-170925132151566	2	257000	201
0011092-170826194755519	6	1027346	145
0000328-171002173027117	4	24696	143
0000674-170925132151566	2	947	48
0000615-170925132151566	5	22080	94
0010523-170826194755519	1	69375	261
0000574-170925132151566	14	279789	396
0003086-170925132151566	2	41038	188
0000095-170925132151566	9	253130	395
0010514-170826194755519	3	6186	45
0003286-170925132151566	4	97012	83
0002038-170925132151566	5	5037	60
0000344-171219132708484	10	495169	150
0003237-171025204727650	331	5407867	362
0003121-170925132151566	2	67234	86
0003109-170925132151566	1	680	33
0000694-171219132708484	76	7512138	662
0009932-170826194755519	1111	242095	154
0003312-170925132151566	26	9877834	826
0002753-171025204727650	8	1178619	338
0002759-171025204727650	30	4213104	418
0002232-170925132151566	3	40521	123
0010314-171124123535762	41	446707	112
0002762-171025204727650	200	6254592	925
0002786-171025204727650	18	702724	288
0000741-170925132151566	1	17486	75
0002771-171025204727650	969	13276671	991
0001995-170925132151566	5	5414	48
0001628-170925132151566	5	1426652	177
0003295-170925132151566	2	502050	119
0000644-171219132708484	62	10498768	276
0003230-170925132151566	16	685022	611
0001622-170925132151566	3	19963	42
0001972-170925132151566	2	3400	55
0000556-170925132151566	9	199431	161
0000541-170925132151566	2	7266	91
0000589-170925132151566	7	148228	277
0009553-170826194755519	1	9181	61
0000653-171219132708484	1	174100	146
0002150-170925132151566	13	528088	97
0000659-171219132708484	395	32793296	1052
0003221-170925132151566	1	400872	390
0010497-170826194755519	5	14236	104
0002975-170925132151566	1	2691	66
0003186-170925132151566	18	10565	83
0003203-170925132151566	4	3063	73
0002073-170925132151566	4	329729	86
0003226-170925132151566	6	1409149	136
0002894-170925132151566	1	66651	79
0003220-170925132151566	3	3986	36
0000551-170925132151566	9	1241174	788
0000380-171219132708484	213	897582	115
0011156-170826194755519	2	174	27
0000023-171002173027117	2	106377	78
0001990-170925132151566	11	10220	114
0009606-170826194755519	7	23997	118
0011047-170826194755519	11	496558	228
0000321-171219132708484	185	4590496	942
0002222-170925132151566	10	1315858	331
0000371-171219132708484	54	1805136	520
0000107-170925132151566	2	59514	98
0000649-171219132708484	1	141213	111
0000291-171002173027117	4	17708	90
0000743-171219132708484	172	875446	172
0002140-170925132151566	6	57018	82
0000560-170925132151566	133	49059	78
0000548-170925132151566	26	4536489	632
0000716-171219132708484	73	9764548	711
0002916-170925132151566	3	24902	135
0002146-170925132151566	4	182781	405
0002910-170925132151566	6	800005	166
0000725-171219132708484	8	252403	485
0010456-170826194755519	15	10788	74
0003235-170925132151566	6	3649	78
0010465-170826194755519	3	301342	278
0000273-171002173027117	17	10225	98
0000279-171002173027117	3	59807	134
0009965-170826194755519	237	7463832	903
0005181-171002173027117	128	6295939	440
0000723-170925132151566	1	99374	93
0010492-170826194755519	10	1108	63
0003181-170925132151566	72	180489	341
0011074-170826194755519	1	28235	98
0010513-170826194755519	7	10868	60
0002041-170925132151566	5	5037	60
0003208-170925132151566	4	100223	113
0009576-170826194755519	8	1029339	434
0009567-170826194755519	1	116337	200
0000661-171219132708484	70	11716471	958
0000698-170925132151566	8	491	31
0000683-170925132151566	3	54836	136
0003130-170925132151566	5	35452	123
0000014-171002173027117	7	33569	207
0002781-171025204727650	5	186126	125
0003255-171025204727650	9	548898	526
0000313-171002173027117	2	6614	52
0011083-170826194755519	9	83269	142
0011032-170826194755519	5	334201	347
0000667-171219132708484	319	783626	114
0002083-170925132151566	8	107255	189
0003302-170925132151566	2	391	23
0003178-170925132151566	9	620300	155
0002976-170925132151566	2	6024	55
0002773-171219132708484	652	11664459	378
0002721-171025204727650	163	6724925	952
0002264-170925132151566	8	3780	62
0000364-171002173027117	26	1809850	132
0000638-170925132151566	10	938153	358
0000346-171002173027117	12	978576	519
0000605-170925132151566	2	27534	126
0000614-170925132151566	4	2315	66
0010504-170826194755519	2	5251	53
0002646-171025204727650	5	186126	125
0000362-171002173027117	7	7370976	168
0011102-170826194755519	3	26870	113
0001985-170925132151566	7	149010	98
0011067-170826194755519	4	320609	244
0000696-170925132151566	6	515522	201
0001635-170925132151566	5	404	50
0000690-170925132151566	2	1382	53
0011064-170826194755519	108	147448	82
0000012-171002173027117	5	17628	91
0011073-170826194755519	1	14549	29
0000363-171219132708484	1	14828	69
0002790-171025204727650	221	23687920	1235
0003234-170925132151566	4	3496	76
0000375-171219132708484	272	44662946	873
0002295-170925132151566	2	25048	58
0002327-170925132151566	3	5525	54
0002321-170925132151566	92	4764	49
0010495-170826194755519	5	8583	101
0002333-170925132151566	17	6123338	887
0005199-171002173027117	8	1683689	157
0000675-170925132151566	2	1819	40
0000721-171219132708484	55	124416	221
0002286-170925132151566	4	29619	92
0000672-170925132151566	11	2236	78
0011129-170826194755519	2	129170	96
0011120-170826194755519	3	42867	167
0002667-171025204727650	16	1161567	597
0011123-170826194755519	2	318808	147
0000678-170925132151566	9	10659	75
0002016-170925132151566	3	16579	59
0009598-170826194755519	6	976608	190
0000330-171219132708484	9	1366413	191
0000348-171219132708484	2	74579	120
0011085-170826194755519	6	346443	175
0000336-171219132708484	242	40291648	1293
0000719-170925132151566	1	4302	95
0000333-171219132708484	9	233429	211
0000660-170925132151566	2	71732	115
0002001-170925132151566	4	10824	69
0002906-170925132151566	3	258433	133
0002954-170925132151566	11	638257	602
0000722-170925132151566	8	1805	69
0011052-170826194755519	5	146988	119
0000746-170925132151566	6	492739	516
0011132-170826194755519	6	29013	97
0009595-170826194755519	9	5771101	161
0000749-170925132151566	10	1329751	259
0002022-170925132151566	1	9677	55
0011138-170826194755519	8	3236	67
0000684-170925132151566	5	2289	69
0000692-171219132708484	274	841444	275
0000680-171219132708484	36	7175850	778
0003114-170925132151566	2	4303	76
0003126-170925132151566	2	35462	50
0002034-170925132151566	14	61194	200
0002945-170925132151566	13	1184432	612
0003102-170925132151566	1	4625	28
0003105-170925132151566	5	88354	178
0000718-171219132708484	1	39990	123
0003233-171025204727650	35	314037	178
0003067-170925132151566	6	571078	219
0003120-170925132151566	77	12565	59
0000686-171219132708484	7	50198	125
0002912-170925132151566	254	5582	59
0000677-171219132708484	8	1502877	149
0000683-171219132708484	17	1089934	608
0000674-171219132708484	647	31215242	1096
0000671-171219132708484	7	133140	193
0002729-171025204727650	19	2644	81
0000075-170925132151566	3	17008	73
0002783-171219132708484	198	20756902	1052
0000072-170925132151566	31	700873	147
0002966-170925132151566	3	8988	76
0002723-171025204727650	636	518619	224
0010506-170826194755519	2	3520	59
0010500-170826194755519	3	8361	72
0000585-170925132151566	2	7524	55
0003282-170925132151566	5	321765	405
0009928-170826194755519	13	1274690	469
0009580-170826194755519	10	644174	518
0000657-170925132151566	6	204550	129
0000654-170925132151566	2	2826	46
0000642-170925132151566	3	155585	168
0002118-170925132151566	6	655917	143
0000060-170925132151566	14	295251	106
0000308-171002173027117	22	7076047	179
0000063-170925132151566	6	288508	124
0010515-170826194755519	2	19454	73
0002112-170925132151566	3	61271	92
0002241-170925132151566	8	1683743	159
0002747-171025204727650	12	204074	142
0000302-171002173027117	12	619903	221
0000314-171002173027117	7	860223	761
0002250-170925132151566	1	331	15
0000326-171002173027117	5	2848	58
0002274-170925132151566	1	160446	136
0000329-171002173027117	8	197087	455
0002265-170925132151566	2	34486	209
0009955-170826194755519	1	140715	62
0009952-170826194755519	1	3990	79
0011157-170826194755519	16	324925	191
0000567-170925132151566	1	7087112	122
0000275-171002173027117	5	33919	134
0000093-170925132151566	1	31588	89
0001952-170925132151566	13	849155	648
0003228-170925132151566	6	36320	134
0002133-170925132151566	20	5245	52
0000057-170925132151566	2	36208	129
0000702-171219132708484	270	1333870	123
0000576-170925132151566	3	64954	75
0001991-170925132151566	3	6074	80
0009967-170826194755519	30	22601	79
0003270-170925132151566	4	1312306	554
0000597-170925132151566	4	156498	190
0000591-170925132151566	4	1243	80
0000579-170925132151566	6	782034	498
0003279-170925132151566	3	101359	306
0003294-170925132151566	3	6687	81
0003291-170925132151566	21	16416	47
0001626-170925132151566	15	484958	232
0002020-170925132151566	11	9856	73
0000668-170925132151566	3	304925	251
0002026-170925132151566	6	26103	105
0000603-170925132151566	7	15886	127
0000121-170925132151566	3	1745	119
0000299-171002173027117	18	21046	55
0000709-170925132151566	3	145520	95
0002276-170925132151566	1	163549	149
0011030-170826194755519	9	375850	114
0000127-170925132151566	1	224940	351
0010517-170826194755519	2	3654	67
0011095-170826194755519	10	88548	98
0000671-170925132151566	3	61379	120
0000677-170925132151566	9	10659	75
0000723-171219132708484	652	17525856	378
0000571-170925132151566	15	1024951	784
0000705-171219132708484	368	27112589	875
0009902-170826194755519	6	16728	104
0003289-170925132151566	1	35766	117
0002226-170925132151566	2	33663	72
0000323-171219132708484	20	7081648	311
0002756-171025204727650	14	1933543	293
0003315-170925132151566	13	1485933	796
0000744-170925132151566	8	396624	303
0000759-170925132151566	3	4417	58
0002774-171025204727650	408	32900296	1245
0003324-170925132151566	11	438330	554
0003233-170925132151566	2	7082	50
0003292-170925132151566	1	552290	169
0000647-171219132708484	18	1222154	176
0002981-170925132151566	2	386538	146
0002987-170925132151566	15	220796	214
0010502-170826194755519	4	21099	127
0003192-170925132151566	2	5549	97
0000553-170925132151566	6	190357	134
0000559-170925132151566	6	12101	59
0010467-170826194755519	13	926058	501
0000630-170925132151566	1	8135	79
0010452-170826194755519	5	36030	81
0000360-171002173027117	3	513585	150
0001960-170925132151566	114	16467	144
0002070-170925132151566	3	137642	125
0003224-170925132151566	7	280911	118
0010494-170826194755519	3	610	51
0002794-171025204727650	386	12600793	332
0003183-170925132151566	5	33298	113
0002043-170925132151566	31	29881	154
0002144-170925132151566	3	146014	229
0002076-170925132151566	1	2536	47
0000147-170925132151566	11	313945	413
0002134-170925132151566	269	1247	87
0009962-170826194755519	6	652136	322
0003060-170925132151566	6	614797	318
0002325-170925132151566	9	17357	76
0003229-170925132151566	7	13836	93
0002077-170925132151566	3	11628	90
0011153-170826194755519	8	783569	568
0000119-170925132151566	8	610	85
0011159-170826194755519	7	48292	67
0005194-171002173027117	1	4530577	177
0001615-170925132151566	2	4203	63
0009896-170826194755519	2	4799	76
0000113-170925132151566	66	13304	77
0011044-170826194755519	3	116205	80
0001624-170925132151566	8	1797429	863
0011062-170826194755519	128	6302491	434
0000104-170925132151566	4	272112	183
0002234-170925132151566	4	4357581	151
0000640-171219132708484	610	6474759	143
0000708-170925132151566	1	1561	52
0002125-170925132151566	20	5245	52
0000569-170925132151566	22	4056267	469
0003057-170925132151566	8	316873	222
0002306-170925132151566	3	967	61
0003238-170925132151566	1	43451	104
0000719-171219132708484	498	2068888	326
0001634-170925132151566	8	89577	158
0011101-170826194755519	1	13138	67
0003241-170925132151566	1	541	28
0002685-171025204727650	234	18902711	354
0009953-170826194755519	1104	22037	80
0010486-170826194755519	3	13870	65
0009968-170826194755519	13	804535	343
0002694-171025204727650	9734	63064820	1175
0010480-170826194755519	6	24317	108
0002252-170925132151566	1	536	45
0010510-170826194755519	3	10412	34
0003205-170925132151566	2	12716	113
0003184-170925132151566	25	5026	70
0002110-170925132151566	3	5730	83
0002922-170925132151566	2	548790	156
0010516-170826194755519	2	8971	81
0000137-170925132151566	4	489270	372
0009935-170826194755519	173	625782	209
0000011-171002173027117	6	703	60
0003243-171025204727650	153	11128415	856
0003133-170925132151566	23	928771	474
0002216-170925132151566	6	517092	160
0002201-170925132151566	8	55612	164
0011035-170826194755519	8	808123	508
0000680-170925132151566	10	953655	665
0000664-171219132708484	6	1550595	265
0002086-170925132151566	7	146592	298
0002931-170925132151566	2	295	37
0002973-170925132151566	13	1316482	783
0000655-171219132708484	9	523928	410
0000017-171002173027117	9	432003	350
0002243-170925132151566	10	46350	139
0003305-170925132151566	6	284	32
0000367-171002173027117	15	112205	172
0000635-170925132151566	6	26402	82
0009564-170826194755519	41	281646	98
0000602-170925132151566	4	65828	136
0002294-170925132151566	4	2024	67
0000626-170925132151566	7	1262284	559
0000370-171002173027117	7	61205	71
0000611-170925132151566	6	6090	58
0002715-171025204727650	21	1307072	211
0000608-170925132151566	5	6172963	131
0002706-171025204727650	18	52828	71
0068006-160910150852091	3026	1548054	128
0019195-151016162008034	2	151315	331
0003285-171219132708484	122	82985	364
0002963-171219132708484	14	33154	158
0002969-171219132708484	96	6398	79
0003329-171219132708484	9	52602	278
0007046-171219132708484	198	21041	211
0003348-171219132708484	2	9381	117
0003294-171219132708484	4	49650	302
0007055-171219132708484	26	4587	26
0007043-171219132708484	8	4909	41
0007422-171219132708484	3	2146	90
0003332-171219132708484	1	110932	376
0003279-171219132708484	87	3168	102
0007103-171219132708484	3	18647	149
0003529-171219132708484	11	97338	100
0002910-171219132708484	4	138909	193
0003305-171219132708484	3	47171	216
0003302-171219132708484	5	39331	233
0007458-171219132708484	1	47822	123
0003347-171219132708484	2	5196	91
0006876-171219132708484	1	28989	94
0007416-171219132708484	63	12946	101
0007419-171219132708484	1719	24719	97
0007125-171219132708484	1	520	31
0003298-171219132708484	118	14274	242
0003295-171219132708484	6	12199	45
0003336-171219132708484	158	8751	128
0006404-171219132708484	6	827	46
0007087-171219132708484	3	33246	213
0003330-171219132708484	1	1511	65
0006241-171219132708484	3	3123	86
0007433-171219132708484	2	9455	115
0007484-171219132708484	30	31098	77
0007078-171219132708484	1	13947	95
0031684-180131172636756	7	82983	422
0007021-171219132708484	1	25699	185
0007653-171219132708484	139	16909	71
0007035-171219132708484	52	220754	137
0002915-171219132708484	23	113665	299
0007545-171219132708484	7	10475	85
0003274-171219132708484	4	20003	124
0007032-171219132708484	3	11498	85
0010084-170714134226665	1	9175	60
0007445-171219132708484	5	8369	140
0033285-181108115102211	3	464595	529
0002909-171219132708484	25	20850	137
0003280-171219132708484	6	5642	60
0006409-171219132708484	2	8259	99
0003286-171219132708484	1	5990	50
0007029-171219132708484	5	179732	359
0006416-171219132708484	7	858	41
0007023-171219132708484	3	1083	65
0007020-171219132708484	16	32442	179
0006872-171219132708484	36	6329	167
0002952-171219132708484	24	53924	370
0002964-171219132708484	3	38317	228
0007059-171219132708484	4	1933	77
0007479-171219132708484	27	128136	299
0007079-171219132708484	1	205548	383
0007658-171219132708484	14	25499	81
0007034-171219132708484	1	6320	171
0006900-171219132708484	1	12339	86
0002972-171219132708484	7	32150	120
0031706-180131172636756	4	1168	64
0003301-171219132708484	20	7290	144
0006319-171219132708484	50	14090	173
0007435-171219132708484	4	12039	154
0006411-171219132708484	2	34476	193
0003284-171219132708484	75	1817	59
0007417-171219132708484	54	3982	53
0007438-171219132708484	11	24512	174
0007426-171219132708484	1	34351	168
0003334-171219132708484	7	8848	57
0003293-171219132708484	44	50070	242
0003349-171219132708484	1	4248	69
0001064-150805223722583	2	19090	53
0001061-150805223722583	1	3425	48
0008928-160311141623029	2	105251	79
0000089-150811131857512	1	3807	61
0001062-150805223722583	2	8297	34
0008930-160311141623029	1	43152	81
0000128-150811131857512	2	77806	86
0029835-180131172636756	277849	290447	153
0000048-160802083343578	1	206	10
0016889-160910150852091	12	7985	82
0016894-160910150852091	12	866	16
0016876-160910150852091	4	19492	102
0086624-160910150852091	587	2602	13
0046025-180508205500799	3537	42182	55
0056592-160910150852091	1252205	116370761	2493
0041531-180508205500799	3	97600	285
0101012-160910150852091	71	60477	115
0002599-150316153013904	11	118370	98
0004520-171219132708484	1	39148	50
0004517-171219132708484	131	34814	95
0001748-151016162008034	41	80284	86
0002831-150922153815467	43	301906	184
0002819-150922153815467	43	370017	177
0002806-150922153815467	101	639823	173
0002796-150922153815467	112267	687234	198
0002827-150922153815467	109	614654	199
0003634-170714134226665	2	126995	324
0009481-170714134226665	2	35854	181
0004618-170714134226665	8	283951	640
0009165-170714134226665	2	9304	117
0009487-170714134226665	2	41585	219
0009088-170714134226665	9	56273	187
0003637-170714134226665	2	11780	105
0009082-170714134226665	1	43696	249
0009467-170714134226665	2	146226	418
0009154-170714134226665	2	28408	221
0009442-170714134226665	2	38192	217
0009111-170714134226665	5	191488	397
0004923-170714134226665	2	14842	126
0009140-170714134226665	2	77034	188
0004811-170714134226665	2	40793	204
0009456-170714134226665	9	481962	883
0009146-170714134226665	1	10537	111
0004873-170714134226665	2	15309	203
0004668-170714134226665	1	33914	157
0009465-170714134226665	2	35999	299
0009066-170714134226665	2	56024	206
0009156-170714134226665	1	86370	263
0009150-170714134226665	3	25185	357
0005158-170627171947987	2	75158	305
0004908-170714134226665	5	12053	159
0009504-170714134226665	3	160571	503
0005536-170627171947987	2	42038	296
0009448-170714134226665	3	66692	307
0009454-170714134226665	5	369775	795
0004933-170714134226665	2	15936	160
0005161-170627171947987	1	21527	212
0010886-170714134226665	2	74760	336
0009172-170714134226665	1	140126	460
0005489-170627171947987	23	38694	293
0009141-170714134226665	7	221517	459
0004872-170714134226665	1	6778	102
0009494-170714134226665	8	223701	609
0004921-170714134226665	1	19522	201
0004924-170714134226665	2	74409	269
0004813-170714134226665	2	43220	299
0004819-170714134226665	2	1787	74
0009423-170714134226665	2	150366	426
0009503-170714134226665	8	189687	420
0009167-170714134226665	2	6570	161
0009406-170714134226665	20	23927	123
0003619-170714134226665	13	347973	729
0004932-170714134226665	1	954	51
0004935-170714134226665	7	48782	320
0004869-170714134226665	2	207799	436
0003633-170714134226665	1	50691	191
0009482-170714134226665	7	153683	374
0009488-170714134226665	12	97825	379
0009130-170714134226665	7	224914	258
0004812-170714134226665	2	46296	173
0004907-170714134226665	3	69289	333
0004824-170714134226665	1	6065	73
0009473-170714134226665	294	235633	561
0005159-170627171947987	2	116533	329
0009470-170714134226665	2	95390	340
0009065-170714134226665	2	5734	58
0009440-170714134226665	1	96750	422
0009508-170714134226665	2	18057	143
0009038-170714134226665	18	270284	408
0009434-170714134226665	2	110725	424
0096963-160910150852091	3	2237	166
0003305-150615163101818	25159	1368634	677
0002775-150615163101818	14714	4736813	1500
0003310-150615163101818	1280780	109972075	2407
0002772-150615163101818	1444092	41113952	2691
0002774-150615163101818	1447944	292258842	2816
0004636-180412121330197	207	531235	409
0000027-150311145101897	1	17934	140
0062902-160910150852091	2	16100	180
0062439-160910150852091	27385	36140	21
0003351-180412121330197	5	8071	51
0003363-180412121330197	16	12393	48
0003388-180412121330197	15	270	25
0003392-180412121330197	13	8139	80
0003390-180412121330197	14	16854	90
0003393-180412121330197	68	32235	69
0033531-180508205500799	4	2253	133
0007093-160118175350007	3	86	18
0006533-181108115102211	4	3315	34
0017684-180131172636756	1	767	16
0023355-180508205500799	6	1439	65
0053040-160910150852091	8	714440	295
0025338-151016162008034	343	99864	257
0008532-160623103540712	122	64838	323
0012080-160910150852091	1	8613	71
0050074-160910150852091	2	177492	391
0012215-160910150852091	4	34035	198
0014308-160910150852091	4	10065	164
0050431-160910150852091	2	84250	260
0048035-160910150852091	2	46416	94
0012058-160910150852091	1	1157	58
0013347-160910150852091	2	14346	51
0012158-160910150852091	2	58545	187
0050089-160910150852091	5	27495	183
0050413-160910150852091	15	1898	49
0014227-160910150852091	2	21456	262
0016605-160910150852091	2	14293	106
0012067-160910150852091	1	2208	74
0044881-160910150852091	2	4694	48
0009778-160910150852091	2	77186	217
0012015-160910150852091	7	65679	262
0016632-160910150852091	152	7609	148
0014180-160910150852091	2	18440	122
0050092-160910150852091	5	98355	287
0016361-160910150852091	2	113929	130
0015899-160910150852091	1	15238	94
0013602-160910150852091	2	5099	46
0010587-160910150852091	7	48359	201
0013365-160910150852091	4	7782	52
0002250-170714134226665	6	6397	70
0013350-160910150852091	2	20215	90
0013353-160910150852091	1	47026	208
0014175-160910150852091	2	11361	88
0013329-160910150852091	7	46735	312
0013596-160910150852091	5	118654	237
0009759-160910150852091	32	379769	795
0050417-160910150852091	6	8573	148
0050429-160910150852091	2	76652	340
0050667-160910150852091	12	121808	409
0012132-160910150852091	7	38644	152
0012107-160910150852091	8	159461	498
0048115-160910150852091	3	140046	292
0050082-160910150852091	1	12397	148
0003654-170627171947987	11	5052	107
0015912-160910150852091	13	3480	104
0044792-160910150852091	9	4970	102
0044789-160910150852091	5	11860	185
0012223-160910150852091	2	10696	91
0014141-160910150852091	4	1165	50
0050336-160910150852091	2	87193	395
0014304-160910150852091	2	81550	196
0012051-160910150852091	2	16488	194
0014137-160910150852091	2	157719	317
0015902-160910150852091	4	242995	235
0014296-160910150852091	4	13004	114
0050335-160910150852091	2	14173	232
0017009-160910150852091	2	22321	151
0017006-160910150852091	5	102153	312
0013337-160910150852091	9	321364	565
0012236-160910150852091	5	159466	369
0012128-160910150852091	4	205088	636
0013595-160910150852091	2	37415	261
0013807-160910150852091	5	102298	371
0013348-160910150852091	2	22316	109
0010562-160910150852091	4	4087	117
0050087-160910150852091	26	46269	298
0014306-160910150852091	6	797	51
0014318-160910150852091	2	39594	139
0014303-160910150852091	173	29345	152
0014226-160910150852091	2	4862	88
0050318-160910150852091	2	4133	70
0050321-160910150852091	1	1480	74
0050090-160910150852091	5	113092	277
0050099-160910150852091	10	179416	385
0013621-160910150852091	23	40966	256
0016633-160910150852091	32	199794	449
0012268-160910150852091	2	59125	228
0013612-160910150852091	6	14319	109
0044908-160910150852091	5	3438	94
0016609-160910150852091	9	168557	393
0013603-160910150852091	2	38351	160
0016600-160910150852091	8	94292	311
0044905-160910150852091	3	12253	50
0044879-160910150852091	7	173761	341
0008256-170714134226665	2	89	11
0000443-180131172636756	1280513	210383301	3596
0008770-160118175350007	2	1395	29
0008971-160118175350007	7	91736	105
0008777-160118175350007	4	29	8
0008765-160118175350007	2	17200	46
0008963-160118175350007	5	183	8
0005737-160118175350007	22	3979	68
0005700-160118175350007	8	3423	30
0008784-160118175350007	5	18	10
0008779-160118175350007	3	50	7
0008783-160118175350007	5	364	26
0008981-160118175350007	1	10	5
0005696-160118175350007	6	2337	61
0008973-160118175350007	30	188504	155
0005100-150922153815467	6	868	55
0005098-150922153815467	6	25630	64
0010780-181108115102211	5	27809	325
0010225-181108115102211	2	3089	64
0006799-180508205500799	43	3382	52
0006234-180508205500799	584	27578	250
0079183-160910150852091	33	1346	19
0006296-180508205500799	584	28995	262
0079202-160910150852091	600	32604	219
0005660-180508205500799	46	3937	53
0002831-150922153815467	43	301906	184
0002819-150922153815467	43	370017	177
0002806-150922153815467	101	639823	173
0002796-150922153815467	112267	687234	198
0002827-150922153815467	109	614654	199
0008590-181108115102211	38	234697	724
0082365-160910150852091	1038	13499	29
0003272-150811131857512	1	1163	48
0005714-150922153815467	9102	3680907	338
0000443-180131172636756	1280513	210383301	3596
0001230-150504100648427	9	148	18
0000238-150528172251762	257	265079	82
0000152-150527152214153	24	148061	56
0001249-150504100648427	55	2097	34
0003371-150410134957023	96	5905	66
0000151-150527152214153	612	54575	41
0000001-150528172251762	8	2698	15
0003372-150410134957023	32	215	6
0022801-180131172636756	2	2240	199
0022743-180131172636756	2	16260	136
0022762-180131172636756	12	2102	145
0022784-180131172636756	6	9913	334
0000169-170817152713382	24	924	17
0001980-180730143533302	1	9063	173
0011822-180412121330197	201006	572607704	2254
0011815-180412121330197	478466	10062296	1384
0011799-180412121330197	44053	14477313	1176
0011811-180412121330197	11980	4609298	1225
0011818-180412121330197	528920	13224236	1835
0011802-180412121330197	1442856	86285775	7073
0011797-180412121330197	1280111	214472139	3666
0006310-171025204727650	2	1384	136
0001170-171107215919691	1	2127	16
0006344-171025204727650	3	32319	190
0006937-171025204727650	6	738	52
0006295-171025204727650	1	994	80
0001179-171107215919691	2	11102	73
0001176-171107215919691	2	162	13
0006321-171025204727650	5	266	35
0006305-171025204727650	5	53690	265
0006308-171025204727650	2	99	22
0001165-171107215919691	6	1013	29
0006207-171025204727650	2	8255	76
0006315-171025204727650	7	1497	133
0006312-171025204727650	17	3710	59
0006318-171025204727650	2	6829	97
0006336-171025204727650	14	4546	220
0006907-171025204727650	3	210	46
0006348-171025204727650	9	2909	168
0006354-171025204727650	6	606	51
0006041-171025204727650	2	3178	147
0000388-171109162308116	25	1794	60
0006060-171025204727650	2	21489	287
0006334-171025204727650	15	1741	80
0006337-171025204727650	2	3852	165
0006927-171025204727650	6	1015	121
0001174-171107215919691	24	19613	226
0006182-171025204727650	17	1413	73
0006329-171025204727650	2	11968	216
0006040-171025204727650	2	908	76
0001177-171107215919691	25	1794	60
0006314-171025204727650	4	1422	54
0006311-171025204727650	2	15919	137
0006057-171025204727650	33769	38757	118
0006217-171025204727650	6	2601	77
0006326-171025204727650	4	3438	179
0006323-171025204727650	6	141325	482
0006328-171025204727650	2	4382	221
0006296-171025204727650	2	218288	515
0001161-171107215919691	2	1086	46
0006930-171025204727650	31	1045	74
0006206-171025204727650	6	65182	182
0006951-171025204727650	1	18644	107
0005618-180412121330197	1	6607	38
0006377-160311141623029	5	2926	33
0006388-160311141623029	26	3015	40
0001145-160311141623029	28	18112	47
0001146-160311141623029	48	15725	29
0001140-160311141623029	50	3824	16
0009438-160118175350007	5	27020	224
0002928-150912100344238	29	78	10
0005919-141123120432318	2	388	20
0005915-141123120432318	2	37155	14
0005922-141123120432318	22	529	16
0005918-141123120432318	9	6247	16
0005897-141123120432318	1	4049	4
0010256-141123120432318	63	38494	16
0005921-141123120432318	29	3059	6
0005898-141123120432318	17	1017	23
0005920-141123120432318	1	124	6
0010255-141123120432318	2	40	8
0006900-180508205500799	2	5259	204
0049168-180508205500799	9	79319	162
0003701-180131172636756	74	4451	121
0003699-180131172636756	5	247017	492
0028804-180508205500799	15	6469	102
0004636-180412121330197	207	531235	409
0041747-160910150852091	4	6685	16
0043419-160910150852091	9	11060	28
0061350-160910150852091	7241	21230	172
0041762-160910150852091	7241	16277	131
0041685-160910150852091	3	4	2
0041744-160910150852091	4	6685	16
0043435-160910150852091	3	618	18
0043438-160910150852091	27	724	28
0061354-160910150852091	7241	25312	241
0043411-160910150852091	4	5116	154
